solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max,err_rms,err_linf,cross_err_max
penta,exp,1,128,128,1024,16384,1024,1024,5,10,host,  1.0382820000000237E-02,  1.0382820000000237E-02,  1.0381612000000651E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0381612000000651E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,5,10,host,  3.7719354000000038E-02,  3.7719354000000038E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,6,10,host,  1.0523371999999753E-02,  1.0523371999999753E-02,  1.0522458000000512E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0522458000000512E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,6,10,host,  4.4504554999999613E-02,  4.4504554999999613E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,7,10,host,  1.1133638999999640E-02,  1.1133638999999640E-02,  1.1132588000000609E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.1132588000000609E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,7,10,host,  3.5317179999999837E-02,  3.5317179999999837E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,8,10,host,  1.0312608000000445E-02,  1.0312608000000445E-02,  1.0311767999999333E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0311767999999333E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,8,10,host,  5.3823309000000208E-02,  5.3823309000000208E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,9,10,host,  9.9787789999998822E-03,  9.9787789999998822E-03,  9.9774750000003465E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.9774750000003465E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,9,10,host,  4.0907859000000713E-02,  4.0907859000000713E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
